Total_Population,MarginError_Total,"Est_Total_Under_$25,000","MoE_Tot_Under_$25,000","tot_under_$25,000_w_coverage",B27015 003M,tot_under$25k_w_privateHI,B27015 004M,tot_under$25k_publicHI,B27015 005M,tot_under$25k_no_coverage,B27015 006M,estTot_$25000_to_$49999,B27015 007M,tot_$25k_to_$49999_w_coverage,B27015 008M,tot_$25k_to_$49999_privateHI,B27015 009M,tot_$25k_to_$49999_publicHI,B27015 010M,tot_$25k_to_$49999_no_coverage,B27015 011M,estTot_$50000_to_$74999,B27015 012M,tot_$50k_$74999_w_coverage,B27015 013M,tot_$50k_$74999_privateHI,B27015 014M,tot_$50k_$74999_publicHI,B27015 015M,tot_$50k_$74999_no_coverage,B27015 016M,estTot_$75000_to_$99999,B27015 017M,tot_$75k_to_$99999_w_coverage,B27015 018M,tot_$75k_$99999_privateHI,B27015 019M,tot_$75k_$99999_publicHI,B27015 020M,tot_$75k_$99999_no_coverage,B27015 021M,estTot_$100k+,B27015 022M,tot_$100k+_w_coverage,B27015 023M,tot_$100k+_privateHI,B27015 024M,tot_$100k+_publicHI,B27015 025M,tot_$100k+_no_coverage,B27015 026M,ALL_no_coverage,Percent_Without_Coverage,%no_coverage_100k+,Geo Id,Geometry,Name,Number of Records
1779993,221,381152,6223,349952,5551,107033,2697,299507,4924,31200,1604,432291,6428,396606,5932,232853,4007,257369,4879,35685,1664,349011,6609,325445,6303,251147,5081,135831,3772,23566,1522,234147,6282,221246,5940,192931,4987,60344,2756,12901,1131,383392,6401,370875,6444,339668,6327,73484,2467,12517,1077,115869,0.0650952,0.032648047,0400000US54,MULTIPOLYGON,West Virginia,1
20125643,1728,3259237,22452,2626866,19404,1017513,10836,1994872,15691,632371,9670,4674154,29044,3841601,23240,2269154,16921,2218024,16830,832553,13303,3892011,28313,3316270,25131,2493360,20294,1339684,14204,575741,11466,2759693,26364,2457020,23860,2058282,21920,740706,9840,302673,8049,5540548,36671,5170118,37600,4628386,36382,1149958,12799,370430,10033,2713768,0.134841307,0.066858008,0400000US12,MULTIPOLYGON,Florida,1
12515154,692,1757365,15950,1558041,13877,548693,6614,1234291,12402,199324,5108,2275098,17338,2003950,15684,1160167,11575,1194115,11058,271148,5611,2131864,17384,1941983,15204,1489025,13019,730752,10034,189881,5247,1729353,15316,1623606,13967,1396977,13179,408590,5893,105747,3985,4621474,21531,4467264,23301,4162917,24106,642719,6019,154210,4541,920310,0.073535651,0.033368142,0400000US17,MULTIPOLYGON,Illinois,1
5392170,357,571762,6356,526291,5624,221313,3195,421944,5024,45471,1809,910458,8656,839325,7686,529067,5294,510371,6340,71133,2753,934321,7538,880867,7483,697920,6520,347129,4346,53454,1988,829353,7219,794647,7238,702175,6532,192925,4065,34706,1585,2146276,11082,2099226,11218,1987778,11548,264113,3200,47050,2727,251814,0.046699937,0.021921691,0400000US27,MULTIPOLYGON,Minnesota,1
5841446,1047,549547,7754,497281,6832,190179,4520,394256,5822,52266,2671,816433,11126,729780,10442,422645,6853,447526,7559,86653,3409,863820,11775,784797,10195,591328,8566,324059,5979,79023,3234,778641,9880,723090,8846,608525,8241,217843,4828,55551,3095,2833005,14733,2728226,14089,2532492,14345,474817,5514,104779,4015,378272,0.064756569,0.036985109,0400000US24,MULTIPOLYGON,Maryland,1
1012818,291,148902,3621,138065,3330,45047,1979,116279,3048,10837,1168,175714,5182,160224,4924,89767,3363,101233,3395,15490,1212,165996,4762,155470,4482,118256,3437,60783,2619,10526,1130,140594,5444,133826,5248,114216,4727,36905,2214,6768,987,381612,5891,372172,5804,344904,5597,64422,2288,9440,878,53061,0.052389472,0.024737168,0400000US44,MULTIPOLYGON,Rhode Island,1
1654175,469,238197,5526,197357,4865,96356,3398,138322,3517,40840,2026,388721,6374,330267,5702,220886,4431,170613,4322,58454,2640,357173,7504,317711,6438,261235,5865,107575,3474,39462,2185,239711,5877,220633,5681,197660,5507,50626,2149,19078,1586,430373,8133,405795,7681,377985,7437,66887,2529,24578,1711,182412,0.110273701,0.057108601,0400000US16,MULTIPOLYGON,Idaho,1
1299577,276,118761,3262,105840,2832,43961,1756,85096,2633,12921,935,192061,4173,168676,3789,109070,2950,100785,2998,23385,1324,215014,5066,196662,5044,156470,4591,77463,2482,18352,1268,197508,5012,184660,4594,161521,4161,49443,1919,12848,1234,576233,6902,558406,7077,525886,6856,83212,2380,17827,1229,85333,0.065662135,0.030937138,0400000US33,MULTIPOLYGON,New Hampshire,1
9824817,1742,1710884,14169,1395110,11886,559929,6348,1055419,10671,315774,5248,2269073,19025,1905762,15516,1213402,11399,1033844,11440,363311,7375,1849463,16601,1644802,15539,1320956,12304,580996,8811,204661,5196,1349859,14999,1248313,14028,1110883,13171,300951,4950,101546,3927,2645538,20279,2539939,20150,2384661,20154,408544,6158,105599,3851,1090891,0.111034231,0.039915889,0400000US37,MULTIPOLYGON,North Carolina,1
599080,133,79346,2004,76114,2017,25251,984,64536,2057,3232,359,113172,2904,106174,2623,57630,1593,72182,2194,6998,730,115532,3006,109297,2979,77940,2431,50546,1865,6235,515,97339,3101,93704,3036,78440,2658,28181,1544,3635,458,193691,3576,189267,3586,170655,3525,39191,1430,4424,498,24524,0.040936102,0.022840504,0400000US50,MULTIPOLYGON,Vermont,1
3461865,479,380440,5816,349296,5546,109521,3143,293204,4599,31144,1573,516460,8766,465660,7919,244858,5646,311421,6526,50800,2208,499229,9760,461492,8869,332792,6273,204977,5434,37737,2414,450050,9164,424197,8606,352492,7310,128404,4271,25853,1890,1615686,12216,1567003,12208,1446495,12402,259837,4637,48683,3014,194217,0.056101841,0.030131474,0400000US09,MULTIPOLYGON,Connecticut,1
921644,400,113935,3163,103560,3113,40612,2027,81320,2813,10375,1148,166634,4274,152209,4225,93844,2993,92024,2726,14425,1077,160765,4643,148985,4330,115798,3756,62307,2454,11780,1150,139900,4577,132932,4435,112483,4098,42880,2344,6968,826,340410,6272,327727,6093,301087,5903,65767,2324,12683,1418,56231,0.061011627,0.037258012,0400000US10,MULTIPOLYGON,Delaware,1
2042004,691,432539,6869,371692,6118,93007,2187,320486,5910,60847,2130,482036,7527,414557,6850,203498,3930,276574,5632,67479,2738,379087,7429,335140,6756,226466,5712,162311,4349,43947,2434,264113,5168,242303,4957,194667,4593,81650,2710,21810,1423,484229,7284,459469,6856,404002,6185,115475,3385,24760,2041,218843,0.107170701,0.051132832,0400000US35,MULTIPOLYGON,New Mexico,1
38255396,1896,4858344,31261,4269313,27174,1283206,11875,3429415,24525,589031,9317,6766203,35913,5875025,31650,2740435,16166,3832531,25577,891178,11546,6165377,32587,5501239,30307,3641576,22891,2486615,20460,664138,9613,5021200,29661,4600509,26558,3574829,21455,1511759,15267,420691,9335,15444272,48613,14755002,53978,13043775,59379,2950876,15512,689270,11219,3254308,0.085067947,0.044629491,0400000US06,MULTIPOLYGON,California,1
8690253,625,953853,11932,817733,10384,285342,5115,664405,8927,136120,4360,1246981,13884,1056874,11407,600631,8174,654745,8038,190107,5249,1214320,13362,1066788,11532,802172,8928,438081,7085,147532,4508,1077868,11538,981848,10496,827780,9685,287469,5608,96020,3555,4197231,19670,4027789,20043,3754483,20277,614422,6318,169442,4769,739221,0.085063231,0.040369949,0400000US34,MULTIPOLYGON,New Jersey,1
5628866,335,744857,7505,675726,7300,289567,4452,520489,6433,69131,2466,1122707,10299,1020104,9087,665992,6767,577209,6825,102603,3045,1079231,10297,1007096,9851,828999,9548,342787,4737,72135,2598,898455,9331,861706,9056,780798,8025,177243,3534,36749,1514,1783616,10666,1738588,11399,1650556,11296,218290,3712,45028,2320,325646,0.057852861,0.025245344,0400000US55,MULTIPOLYGON,Wisconsin,1
3991230,372,555664,7973,499053,7185,180775,3488,405156,6610,56611,2369,821370,9365,733835,8398,416016,6624,468029,6488,87535,3263,756681,9833,690701,8939,516403,7217,295771,6105,65980,3083,584506,9691,548867,8859,462046,7872,164785,4418,35639,2249,1273009,11921,1228240,11859,1123166,11511,230548,4444,44769,2364,290534,0.072793099,0.035167858,0400000US41,MULTIPOLYGON,Oregon,1
1847806,411,233470,4065,194375,3557,96997,2207,137961,3103,39095,1819,372147,5249,321730,4814,230098,3701,153397,3087,50417,1934,369419,5326,336983,4959,287259,4228,96701,2300,32436,1535,292402,5178,275847,4603,253344,4215,51052,1756,16555,1312,580368,5861,563420,5928,536193,5902,74650,2122,16948,1152,155451,0.084127338,0.029202161,0400000US31,MULTIPOLYGON,Nebraska,1
12361155,438,1796181,14023,1625770,12412,660303,6664,1308703,11707,170411,4625,2370974,17180,2148772,14976,1399764,10872,1274714,10836,222202,5261,2223284,15543,2066215,14814,1669397,12683,778889,9064,157069,3899,1786263,15174,1693388,14451,1502282,13661,421695,5940,92875,3656,4184453,23905,4052175,23993,3812687,24810,616295,6614,132278,4000,774835,0.062683058,0.031611778,0400000US42,MULTIPOLYGON,Pennsylvania,1
7116286,1428,784020,8479,702640,7919,270512,4851,549398,7457,81380,2886,1221017,11260,1089554,10305,625346,6869,675230,7644,131463,3402,1242650,11996,1135000,11145,845722,9959,485188,6900,107650,4123,1043152,11653,978335,11204,823945,10796,289743,4878,64817,2873,2825447,14485,2727843,14193,2511739,15097,471283,7276,97604,3451,482914,0.067860398,0.034544622,0400000US53,MULTIPOLYGON,Washington,1
4522720,770,986081,11849,832722,9991,267897,4866,668352,8218,153359,4011,998729,12811,856687,10783,499050,7494,497011,7936,142042,4832,766598,10289,681447,9203,509039,7206,272399,5502,85151,3178,563830,11068,517539,10257,434083,8937,142072,4017,46291,2758,1207482,13783,1151557,13300,1054894,13032,194594,4293,55925,2677,482768,0.106742845,0.04631539,0400000US22,MULTIPOLYGON,Louisiana,1
10004400,1673,1700663,15292,1312036,12380,522511,7434,965006,11456,388627,7747,2149369,20334,1733095,16646,1105015,10973,894105,11355,416274,8502,1822922,17458,1560589,16208,1251395,14410,516617,7257,262333,7146,1368742,17888,1228090,16264,1073977,15540,289087,5457,140652,5983,2962704,19948,2796523,20115,2612795,19987,432528,6251,166181,7232,1374067,0.137346268,0.05609099,0400000US13,MULTIPOLYGON,Georgia,1
4735156,731,975396,11085,803733,8983,321770,5152,610920,7667,171663,4458,1080156,12589,936314,10613,615703,8026,503032,6903,143842,4913,870205,11158,794623,11107,649228,9726,285043,5308,75582,2800,630912,10120,592024,9011,528808,8209,144457,3708,38888,2831,1178487,11256,1137110,11184,1069503,11208,194241,3891,41377,2527,471352,0.099543077,0.035110273,0400000US01,MULTIPOLYGON,Alabama,1
2995172,501,276791,6377,225250,5289,121751,3862,138262,3737,51541,2595,517052,7718,428696,6474,313725,5818,179478,4003,88356,4035,598990,9078,533629,8563,470200,7882,121649,3661,65361,2950,509520,9646,468945,8994,433196,8568,76874,3043,40575,2558,1092819,9699,1039205,10004,991561,9729,118542,3028,53614,3054,299447,0.099976562,0.049060274,0400000US49,MULTIPOLYGON,Utah,1
11320134,594,1837326,14129,1657973,12806,534184,5432,1376677,11932,179353,4262,2373142,16475,2145990,14218,1309837,10314,1274837,10756,227152,5408,2123113,15752,1975353,15031,1587954,13515,706741,9816,147760,4600,1642173,13884,1561995,14284,1383965,14294,356005,5093,80178,2592,3344380,19036,3242443,19976,3043058,20783,455128,5112,101937,3866,736380,0.065050467,0.030480089,0400000US39,MULTIPOLYGON,Ohio,1
